t=2026-03-24T17:40:50-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-24T17:40:50-0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-03-24T17:40:50-0300 lvl=info msg="open config file" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-24T17:40:50-0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-24T17:40:50-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=94b4d4d15f17 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=58b59f41a1cb l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=12d9fe71ef62 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=1b5f2f3cfce6 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=e9a8ffa0037f l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=3eafea720261 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=8b13dcba233e l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=49841b582024 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=0376de998ba4 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=1f1821df9699 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=e8cc10da9e5d l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=76ad531168ab l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=f25964763f6c l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=1f3e9c7780d9 l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=b216edcd2127 l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=cdfa7cf4fd4c l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=6e448d0bda54 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=54858f5cd586 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=dd3e756f734a l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=f57b84cfe0e9 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=391fdd83b24c l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=cc272f12b803 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=b1f2d9e864d3 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=c739aa378beb l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=e40a355ebcdd l=127.0.0.1:3000 r=181.46.138.67:2838
